source_folder,date,time,track_id,num_detections,first_frame_time,last_frame_time,duration,final_family,final_genus,final_species,family_confidence,genus_confidence,species_confidence,num_path_points,total_path_length,net_displacement,revisit_ratio,progression_ratio,directional_variance,path_points_pass,displacement_pass,revisit_pass,progression_pass,directional_variance_pass,passes_topology,min_path_points,min_displacement,max_revisit_ratio,min_progression_ratio,max_directional_variance,revisit_radius,min_displacement_frac,revisit_radius_frac,classification_verified,classification_correct,detection_verified,detection_correct,corrected_name
20260623_152438,23/6/26,15:24:38,cb0c3544-58fa-47ec-a8a1-d139a4591148,90,23.93309413,28.29971716,4.366623024,Apidae,Bombus,Bombus terrestris,0.736478139,0.741932948,0.422110978,90,1307.256021,343.1883594,0.130586767,0.868327078,0.877327139,True,True,True,True,True,True,6,32.4,0.55,0.4,0.9,27,0.03,0.025,True,True,True,True,
20260623_152438,23/6/26,15:24:38,eb9fdaae-8451-439f-8271-eaa5fc1e2f69,63,8.299917046,14.96651708,6.666600037,Apidae,Bombus,Bombus terrestris,0.696913325,0.702086837,0.325316022,63,1372.15992,312.0320496,0.090117767,0.999999997,0.735797119,True,True,True,True,True,True,6,32.4,0.55,0.4,0.9,27,0.03,0.025,,,,,
20260623_152438,23/6/26,15:24:38,a391c9b1-4e38-4954-9d83-9bd2b36376dd,16,8.099919045,8.733246049,0.633327004,Apidae,Bombus,Bombus terrestris,0.527781164,0.531182416,0.191633592,16,616.1489355,308.06858,0.074999999,0.999999997,0.413426972,True,True,True,True,True,True,6,32.4,0.55,0.4,0.9,27,0.03,0.025,,,,,
20260623_153544,23/6/26,15:35:44,6200d583-35c4-40b1-95f5-a4c3f3ee78dc,41,14.06652608,16.06650609,1.999980011,Apidae,Bombus,Bombus terrestris,0.774315536,0.509784162,0.114996823,41,1877.721583,950.9011515,0.03902439,0.999999999,0.555951155,True,True,True,True,True,True,6,32.4,0.55,0.4,0.9,27,0.03,0.025,,,,,
20260623_153544,23/6/26,15:35:44,5ef94342-eab7-42fd-a392-c406a3c5c35a,23,14.39985608,15.76650909,1.366653008,Apidae,Bombus,Bombus pascuorum,0.703656442,0.587343641,0.154407401,23,711.1255992,287.1624105,0.189723319,0.999999997,0.662082064,True,True,True,True,True,True,6,32.4,0.55,0.4,0.9,27,0.03,0.025,,,,,
20260623_155754,23/6/26,15:57:54,63878d23-9f43-42ac-8f6e-19d7fd086d97,27,8.833245074,10.19989809,1.366653011,Apidae,Bombus,Bombus terrestris,0.693671963,0.475156539,0.126014584,27,724.252508,170.5784277,0.122507122,0.624108606,0.820908932,True,True,True,True,True,True,6,32.4,0.55,0.4,0.9,27,0.03,0.025,,,,,
20260623_155754,23/6/26,15:57:54,5e4445b4-2248-486c-b3a1-77ed2f290abd,26,8.433249071,9.966567084,1.533318013,Apidae,Bombus,Bombus lapidarius,0.72964345,0.586325007,0.137992584,26,957.4630481,396.1849316,0.098461538,0.801924371,0.592924222,True,True,True,True,True,True,6,32.4,0.55,0.4,0.9,27,0.03,0.025,,,,,
20260623_155754,23/6/26,15:57:54,b65f3a5c-d457-42b9-ad6d-9fef3cf19814,12,0.033333,0.566661005,0.533328004,Apidae,Bombus,Bombus pascuorum,0.703940719,0.470432331,0.159328931,12,213.7701762,169.2483382,0.227272724,0.996043843,0.299286797,True,True,True,True,True,True,6,32.4,0.55,0.4,0.9,27,0.03,0.025,,,,,
20260623_155754,23/6/26,15:57:54,072d96b8-10a5-4852-906f-562941671c07,9,0.033333,0.599994005,0.566661005,Apidae,Bombus,Bombus pratorum,0.633538501,0.607364443,0.194686995,9,503.7672262,170.8105676,0.055555554,0.999999994,0.409811519,True,True,True,True,True,True,6,32.4,0.55,0.4,0.9,27,0.03,0.025,,,,,
20260623_155754,23/6/26,15:57:54,5dc24bb4-7875-4ba3-9563-53a5a12503cd,9,3.366633028,3.63329703,0.266664002,Apidae,Bombus,Bombus terrestris,0.721028159,0.741453151,0.449476122,9,170.3138296,113.2784181,0.166666662,0.999999991,0.290799829,True,True,True,True,True,True,6,32.4,0.55,0.4,0.9,27,0.03,0.025,,,,,
